Prato,pessoas_medias
Almondegas estufadas,2878
Arroz de frango,675
Atum grelhado,1684
Bife de peru grelhado,744
Cação assado,1603
Cação estufado,343
Carne de vaca estufada com cenoura e ervilhas e feijão verde,718
Costeleta de porco grelhada,2617
Entrecosto de porco assado,3005
Frango assado,1802
Lasanha de carne,4952
Massa bolonhesa,3642
Massa com peru e legumes,1184
Medalhões de pescada com molho de tomate e legumes,289
Panado de porco frito,331
Pescada com broa,2278
Redfish no forno com cebolada,1252
Salada de atum e batata e feijão frade,104
