Indice,Mes,Dia,Dia Semana,Hora,Minuto,Clima,Temperatura,IsDay,Sopa,Prato,IsMeat,isFeriado,Probes
0,4,19,1,11,29,clear sky,12.1,0,Sopa de alho francês,Lasanha de carnes,1,0,34
1,4,19,1,11,36,clear sky,12.1,0,Sopa de alho francês,Lasanha de carnes,1,0,26
2,4,19,1,11,42,clear sky,12.1,0,Sopa de alho francês,Lasanha de carnes,1,0,25
3,4,19,1,11,49,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,152
4,4,19,1,11,55,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,320
5,4,19,1,12,1,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,287
6,4,19,1,12,7,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,384
7,4,19,1,12,13,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,333
8,4,19,1,12,19,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,328
9,4,19,1,12,26,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,242
10,4,19,1,12,32,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,403
11,4,19,1,12,39,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,382
12,4,19,1,12,45,few clouds,12.65,0,Sopa de alho francês,Lasanha de carnes,1,0,405
13,4,19,1,12,52,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,437
14,4,19,1,12,59,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,449
15,4,19,1,13,5,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,439
16,4,19,1,13,12,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,400
17,4,19,1,13,18,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,400
18,4,19,1,13,24,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,450
19,4,19,1,13,31,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,325
20,4,19,1,13,37,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,391
21,4,19,1,13,43,few clouds,13.8,0,Sopa de alho francês,Lasanha de carnes,1,0,359
22,4,19,1,13,50,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,244
23,4,19,1,13,56,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,192
24,4,19,1,14,3,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,50
25,4,19,1,14,9,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,11
26,4,19,1,14,16,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,10
27,4,19,1,14,25,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,16
28,4,19,1,14,37,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,23
29,4,19,1,14,44,broken clouds,14.92,0,Sopa de alho francês,Lasanha de carnes,1,0,10
30,4,19,1,14,50,broken clouds,14.36,0,Sopa de alho francês,Lasanha de carnes,1,0,8
31,4,19,1,15,0,broken clouds,14.36,0,NULL,NULL,NULL,0,25
32,4,19,1,15,7,broken clouds,14.36,0,NULL,NULL,NULL,0,9
33,4,19,1,15,13,broken clouds,14.36,0,NULL,NULL,NULL,0,6
34,4,19,1,15,20,broken clouds,14.36,0,NULL,NULL,NULL,0,1
35,4,19,1,15,28,broken clouds,14.36,0,NULL,NULL,NULL,0,17
36,4,19,1,15,35,broken clouds,14.36,0,NULL,NULL,NULL,0,19
37,4,19,1,15,43,broken clouds,14.36,0,NULL,NULL,NULL,0,18
38,4,19,1,15,49,broken clouds,11.86,0,NULL,NULL,NULL,0,22
39,4,19,1,15,56,broken clouds,11.86,0,NULL,NULL,NULL,0,11
40,4,19,1,16,3,broken clouds,11.86,0,NULL,NULL,NULL,0,8
41,4,19,1,16,9,broken clouds,11.86,0,NULL,NULL,NULL,0,11
42,4,19,1,16,16,broken clouds,11.86,0,NULL,NULL,NULL,0,14
43,4,19,1,16,24,broken clouds,11.86,0,NULL,NULL,NULL,0,12
44,4,19,1,16,31,broken clouds,11.86,0,NULL,NULL,NULL,0,9
45,4,19,1,16,37,broken clouds,11.86,0,NULL,NULL,NULL,0,10
46,4,19,1,16,43,broken clouds,11.86,0,NULL,NULL,NULL,0,7
47,4,19,1,16,49,broken clouds,12.26,0,NULL,NULL,NULL,0,6
48,4,19,1,16,56,broken clouds,12.26,0,NULL,NULL,NULL,0,7
49,4,19,1,17,3,broken clouds,12.26,0,NULL,NULL,NULL,0,5
50,4,19,1,17,9,broken clouds,12.26,0,NULL,NULL,NULL,0,9
51,4,19,1,17,15,broken clouds,12.26,0,NULL,NULL,NULL,0,17
52,4,19,1,17,22,broken clouds,12.26,0,NULL,NULL,NULL,0,10
53,4,19,1,17,28,broken clouds,12.26,0,NULL,NULL,NULL,0,9
54,4,19,1,17,34,broken clouds,12.26,0,NULL,NULL,NULL,0,7
55,4,19,1,17,42,broken clouds,12.26,0,NULL,NULL,NULL,0,8
56,4,19,1,17,49,light rain,12.56,0,NULL,NULL,NULL,0,6
57,4,19,1,17,55,light rain,12.56,0,NULL,NULL,NULL,0,6
58,4,19,1,18,1,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,6
59,4,19,1,18,7,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,5
60,4,19,1,18,13,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,7
61,4,19,1,18,19,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,5
62,4,19,1,18,25,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,7
63,4,19,1,18,32,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,5
64,4,19,1,18,38,light rain,12.56,0,Sopa de couve-flor,Bife de peru grelhado,1,0,7
