Data,Sopa,Prato,Acompanhamento_1,Acompanhamento_2,Energia,Lípidos,Lípidos_saturados,Hidratos_carbono,Açúcares,Fibras,Proteína,Sal,Carne
2022-04-01,Sopa de feijão vermelho com feijão verde,Pescada à Provençal,Batata cozida,Couve flor cozida,666,17,3,86,19,13,41,3,0
2022-04-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-04,Creme de abobora,Cação assado,Batata cozida,Feijão verde cozido,643,17,3,82,19,12,38,3,0
2022-04-05,Sopa de couve flor,Espetadas de peru grelhadas,Massa salteada,Couve branca salteada,650,18,3,84,18,13,37,3,1
2022-04-06,Sopa de grão de bico,Peixe à Gomes de Sá,NULL,Salada de alface e cenoura,623,20,5,75,18,12,33,3,0
2022-04-07,Sopa de nabos,Lombo de porco assado,Batata assada,Couve à Mineira,705,18,3,100,19,14,34,3,1
2022-04-08,Creme de tomate,Bife de frango grelhado,Arroz de legumes,Salada de alface e couve roxa,658,13,2,94,16,14,39,3,1
2022-04-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-11,Caldo verde,Frango estufado com cenoura e ervilhas,Arroz branco,NULL,740,26,6,80,15,11,46,3,1
2022-04-12,Sopa de legumes,Massa com salmão,NULL,Salada juliana de alface e cenoura e couve roxa,610,22,4,64,18,11,39,6,0
2022-04-13,Sopa de penca,Nacos de porco estufados,Puré de batata,Espinafres salteados,735,29,6,81,18,12,37,3,1
2022-04-14,Sopa de grão de bico com espinafres,Redfish no forno com cebolada,Batatinha no forno com azeite e alho,Salada de alface e milho e tomate,767,28,7,89,17,12,37,4,0
2022-04-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-19,Sopa de couve-flor,Bife de peru grelhado,Arroz de brócolos,Chucrute,633,17,2,90,17,12,29,4,1
2022-04-20,Creme de ervilhas,Medalhões de pescada com molho de tomate e legumes,Batata a murro,Couve de bruxelas salteada,640,20,5,76,18,12,36,3,0
2022-04-21,Sopa de grão de bico,Carne de vaca estufada com cenoura e ervilhas e feijão verde,Massa cozida,NULL,687,16,2,88,19,13,45,3,1
2022-04-22,Sopa de nabos,Panado de porco frito,Arroz de pimentos,Salada de tomate com orégãos,749,21,4,95,16,12,42,2,1
2022-04-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-26,Sopa de abobóra,Cação estufado,Batata cozida,Couve-de-bruxelas cozida,538,15,2,72,15,11,27,4,0
2022-04-27,Caldo verde,Arroz de frango,NULL,Salada de alface e cenoura,567,7,1,82,18,13,41,4,1
2022-04-28,Creme de legumes,Massa com peru e legumes,NULL,Salada de alface e pepino e pimentos,591,23,5,52,16,10,43,2,1
