Data_Vegan,Sopa_Vegan,Prato_Vegan,Acompanhamento_1_Vegan,Acompanhamento_2_Vegan,Energia_Vegan,Lípidos_Vegan,Lípidos_saturados_Vegan,Hidratos_carbono_Vegan,Açúcares_Vegan,Fibras_Vegan,Proteína_Vegan,Sal_Vegan
2022-04-01,Sopa de feijão vermelho com feijão verde,Tofu salteado com brócolos,Batata cozida,Couve flor cozida,709,32,6,76,19,12,26,2
2022-04-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-04,Creme de abobora,Tofu com broa,Batata cozida,Feijão verde cozido,773,24,7,107,20,13,30,4
2022-04-05,Sopa de couve flor,Gratinado de legumes com cogumelos,Massa salteada,Couve branca salteada,651,20,8,92,28,15,25,5
2022-04-06,Sopa de grão de bico,Alho francês à Brás,NULL,Salada de alface e cenoura,787,34,5,92,21,17,28,5
2022-04-07,Sopa de nabos,Arroz de legumes e frutos secos,NULL,Couve à Mineira,757,20,3,115,17,27,28,3
2022-04-08,Creme de tomate,Panado de tofu,Arroz de legumes,Salada de alface e couve roxa,940,25,4,128,17,16,47,4
2022-04-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-11,Caldo verde,Chilli de seitan,Arroz branco,NULL,939,17,2,143,19,30,49,4
2022-04-12,Sopa de legumes,Gratinado de tofu com cogumelos,Massa cozida,Salada juliana de alface e cenoura e couve roxa,630,16,2,93,20,14,23,3
2022-04-13,Sopa de penca,Lentilhas estufadas,Puré de batata,Espinafres salteados,658,20,3,91,20,14,26,3
2022-04-14,Sopa de grão de bico com espinafres,Tofu salteado com brócolos,Batatinha no forno com azeite e alho,Salada de alface e milho e tomate,717,24,5,104,21,13,20,4
2022-04-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-19,Sopa de couve-flor,Gratinado de legumes com cogumelos,Arroz de brócolos,Chucrute,776,15,2,115,15,13,21,3
2022-04-20,Creme de ervilhas,Alho francês à Brás,NULL,Couve de bruxelas salteada,940,25,4,128,17,16,47,4
2022-04-21,Sopa de grão de bico,Bolonhesa de seitan,Massa cozida,NULL,692,26,6,78,17,12,33,4
2022-04-22,Sopa de nabos,Bifinhos de tofu com cogumelos,Bifinhos de tofu com cogumelos,Salada de tomate com orégãos,745,24,4,100,20,15,18,5
2022-04-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-04-26,Sopa de abobóra,Seitan de cebolada,Batata cozida,Couve-de-bruxelas cozida,663,24,7,98,19,12,29,4
2022-04-27,Caldo verde,Caril de legumes,Arroz branco,NULL,682,21,4,80,18,11,40,4
2022-04-28,Creme de legumes,Massa com tofu,NULL,Salada de alface e pepino e pimentos,801,23,6,115,19,14,32,3
2022-04-29,Sopa de feijão verde,Jardineira de seitan,NULL,NULL,549,15,2,67,17,13,33,4
2022-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-02,Sopa de curgete,Seitan assado,Arroz de tomate,Jardineira de legumes,718,8,1,99,24,17,58,5
2022-05-03,Sopa de penca,Esparguete bolognese de soja,NULL,Salada de alface e pepino e pimento,828,20,3,127,23,23,30,3
2022-05-04,Sopa de curgete,Tofu assado com pimentos,Puré de batata,Couve-de-bruxelas cozida,593,12,2,92,21,15,26,4
2022-05-05,Sopa de grão de bico com nabiças,Cannelonis de legumes,NULL,Salada de alface e couve roxa,701,23,6,102,18,17,19,4
2022-05-06,Creme de tomate,Caril de legumes,Arroz ao alho,NULL,813,16,2,118,17,29,47,4
2022-05-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-09,Caldo verde,Empadão de soja,NULL,Bróculos cozidos,700,25,7,93,21,15,23,4
2022-05-10,Sopa de nabos,Arroz de legumes com frutos secos,NULL,Alho francês e cenoura e couve salteada,651,20,8,92,28,15,25,5
2022-05-11,Sopa de feijão-branco com couve branca,Alho francês à Brás,NULL,Salada de alface e pepino e tomate,940,27,3,127,20,37,45,4
2022-05-12,Sopa camponesa,Beringela recheada com soja,Arroz de cenoura,Salada de tomate com orégãos,66,22,5,89,21,20,27,5
2022-05-13,Sopa de penca,Bolonhesa de seitan,Massa cozida,NULL,677,23,5,80,18,12,33,3
2022-05-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-16,Sopa de couve flor,Croquete de soja,Arroz de pimentos,Espinafres salteados,939,17,2,143,19,30,49,4
2022-05-17,Sopa de nabiças,Tofu de tomatada,Salada de batata e bróculos e azeitonas,Couve de bruxelas salteadas,608,19,3,85,21,12,22,3
2022-05-18,Creme de cenoura,Espetadas de tofu com legumes,Arroz de cenoura,Salada juliana de alface e couve branca e couve roxa,589,17,3,83,19,12,23,3
2022-05-19,Sopa de legumes,Pimentos recheados com seitan,Batata cozida,Cenoura baby cozida,630,20,6,81,22,16,29,3
2022-05-20,Sopa de grão de bico e espinafres,Dhal de lentilhas,Arroz branco,Salada de alface e tomate,701,23,6,102,18,17,19,4
2022-05-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-23,Sopa de curgete,Arroz indiano com tofu e legumes,NULL,Salada de alface e pepino e pimentos,717,26,11,96,29,16,24,5
2022-05-24,Sopa de nabos,Bolonhesa de seitan,Massa cozida,NULL,677,23,5,80,18,12,33,3
2022-05-25,Creme de tomate,Feijoada de algas,Arroz de tomate,NULL,860,21,3,120,20,31,44,3
2022-05-26,Sopa de feijão branco com penca,Jardineira de seitan,NULL,NULL,542,14,2,68,17,12,32,3
2022-05-27, Sopa de bróculos,Beringela recheada com soja,Arroz de ervilhas,Salada de alface e pimento e tomate e azeitona,745,24,4,100,20,15,28,5
2022-05-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05-30,Sopa de couve flor,Caril de grão de bico,Arroz de pimentos,NULL,645,25,10,88,19,16,18,3
2022-05-31,Sopa camponesa,Esparguete bolognese de soja,NULL,Jardineira de legumes,663,24,7,98,19,12,29,4
